Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Carlitos Junior 23 Inch Tennis Racket 2026,£25.89,£34.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-carlitos-junior-23-inch-tennis-racket-2026-1755233.html,Babolat
Boom MP UL Alternate Tennis Racket (2026),£142.50,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-mp-ul-alternate-tennis-racket-2026-1759806.html,HEAD
Pure Aero 25 Inch Junior Tennis Racket Gen9 (2026),£89.99,£115.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-25-inch-junior-tennis-racket-gen9-2026-1755194.html,Babolat
Boom Team Alternate Tennis Racket (2026),£129.99,£170.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-team-alternate-tennis-racket-2026-1759808.html,HEAD
Muse 100L Tennis Racket (2026) [Frame Only] - Pearl Silver,£207.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-muse-100l-tennis-racket-2026-frame-only-pearl-silver-1763070.html,Yonex
Vcore Ace Tennis Racket (2026) - Ruby Red,£109.99,£130.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-vcore-ace-tennis-racket-2026-ruby-red-1754071.html,Yonex
VCore Alpha Super Light Tennis Racket (2026) - Ruby Red,£129.99,£160.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-vcore-alpha-super-light-tennis-racket-2026-ruby-red-1758929.html,Yonex
Pure Drive Plus Gen 11 Tennis Racket (2025),£189.00,£235.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-plus-gen-11-tennis-racket-2025-1684572.html,Babolat
Evo Drive Tour Gen 2 Tennis Racket 2025,£119.99,£160.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-drive-tour-gen-2-tennis-racket-2025-1694490.html,Babolat
Pure Drive Junior 25 Gen 11 Tennis Racket - Light Blue,£79.99,£105.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-junior-25-gen-11-tennis-racket-light-blue-1692425.html,Babolat
