Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Slip Ins Relaxed Fit: Oak Canyon Mens Shoes (Brown/Black),£53.95,£84.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-relaxed-fit-oak-canyon-mens-shoes-brownblack-4D454,Skechers
Max Cushioning Endeavour Womens Shoes (White/Light Blue),£50.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-max-cushioning-endeavour-womens-shoes-whitelight-blue-4D5D3,Skechers
On-The-Go Stellar - Cozy Step Waterproof Womens Boots (Black),£59.35,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-onthego-stellar-cozy-step-waterproof-womens-boots-black-4E07F,Skechers
Slip Ins: Orell - Yates Mens Shoes (Cocoa),£59.95,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-orell-yates-mens-shoes-cocoa-4E09F,Skechers
Slips Ins: Glide Step + Vista Junior Shoes (Charcoal/Black),£35.95,£54.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slips-ins-glide-step-vista-junior-shoes-charcoalblack-4E97A,Skechers
Max Cushioning Endeavour Womens Shoes (White/Black),£50.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-max-cushioning-endeavour-womens-shoes-whiteblack-4EB5E,Skechers
Relaxed Fit: D'Lux Vapor-Evening Glow Womens Shoes (Black/Rose Gold),£59.97,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-relaxed-fit-dlux-vaporevening-glow-womens-shoes-blackrose-gold-4D5DF,Skechers
Slip Ins: Go Walk Arch Fit N-Joy Womens Shoes (Black),£59.95,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-go-walk-arch-fit-njoy-womens-shoes-black-4E082,Skechers
Go Run Consistent 2.0 - Worldview Mens Shoes (Black),£52.95,£79.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-go-run-consistent-20-worldview-mens-shoes-black-4E09D,Skechers
Slip Ins: Summits Womens Shoes-Diamond Dream (Lavender),£50.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-summits-womens-shoesdiamond-dream-lavender-4EB60,Skechers
On-The-Go Stellar - Cozy Step Waterproof Womens Boots (Dark Taupe),£59.95,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-onthego-stellar-cozy-step-waterproof-womens-boots-dark-taupe-4E080,Skechers
Slip Ins: Go Walk Arch Fit N-Joy Womens Shoes (Mauve),£59.95,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-go-walk-arch-fit-njoy-womens-shoes-mauve-4E081,Skechers
Slip Ins: Summits Womens Shoes-Diamond Dream (White/Silver),£50.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-summits-womens-shoesdiamond-dream-whitesilver-427B5,Skechers
